"GEO_ID","NAME","S1602_C01_001E","S1602_C01_001M","S1602_C01_002E","S1602_C01_002M","S1602_C01_003E","S1602_C01_003M","S1602_C01_004E","S1602_C01_004M","S1602_C01_005E","S1602_C01_005M","S1602_C02_001E","S1602_C02_001M","S1602_C02_002E","S1602_C02_002M","S1602_C02_003E","S1602_C02_003M","S1602_C02_004E","S1602_C02_004M","S1602_C02_005E","S1602_C02_005M","S1602_C03_001E","S1602_C03_001M","S1602_C03_002E","S1602_C03_002M","S1602_C03_003E","S1602_C03_003M","S1602_C03_004E","S1602_C03_004M","S1602_C03_005E","S1602_C03_005M","S1602_C04_001E","S1602_C04_001M","S1602_C04_002E","S1602_C04_002M","S1602_C04_003E","S1602_C04_003M","S1602_C04_004E","S1602_C04_004M","S1602_C04_005E","S1602_C04_005M"
"id","Geographic Area Name","Estimate!!Total!!All households","Margin of Error!!Total!!All households","Estimate!!Total!!All households!!Households speaking --!!Spanish","Margin of Error!!Total!!All households!!Households speaking --!!Spanish","Estimate!!Total!!All households!!Households speaking --!!Other Indo-European languages","Margin of Error!!Total!!All households!!Households speaking --!!Other Indo-European languages","Estimate!!Total!!All households!!Households speaking --!!Asian and Pacific Island languages","Margin of Error!!Total!!All households!!Households speaking --!!Asian and Pacific Island languages","Estimate!!Total!!All households!!Households speaking --!!Other languages","Margin of Error!!Total!!All households!!Households speaking --!!Other languages","Estimate!!Percent!!All households","Margin of Error!!Percent!!All households","Estimate!!Percent!!All households!!Households speaking --!!Spanish","Margin of Error!!Percent!!All households!!Households speaking --!!Spanish","Estimate!!Percent!!All households!!Households speaking --!!Other Indo-European languages","Margin of Error!!Percent!!All households!!Households speaking --!!Other Indo-European languages","Estimate!!Percent!!All households!!Households speaking --!!Asian and Pacific Island languages","Margin of Error!!Percent!!All households!!Households speaking --!!Asian and Pacific Island languages","Estimate!!Percent!!All households!!Households speaking --!!Other languages","Margin of Error!!Percent!!All households!!Households speaking --!!Other languages","Estimate!!Limited English-speaking households!!All households","Margin of Error!!Limited English-speaking households!!All households","Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Spanish","Margin of Error!!Limited English-speaking households!!All households!!Households speaking --!!Spanish","Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages","Margin of Error!!Limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages","Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages","Margin of Error!!Limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages","Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Other languages","Margin of Error!!Limited English-speaking households!!All households!!Households speaking --!!Other languages","Estimate!!Percent limited English-speaking households!!All households","Margin of Error!!Percent limited English-speaking households!!All households","Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Spanish","Margin of Error!!Percent limited English-speaking households!!All households!!Households speaking --!!Spanish","Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages","Margin of Error!!Percent limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages","Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages","Margin of Error!!Percent limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages","Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Other languages","Margin of Error!!Percent limited English-speaking households!!All households!!Households speaking --!!Other languages"
"1400000US17001000100","Census Tract 1, Adams County, Illinois","2202","138","36","41","17","25","0","11","0","11","(X)","(X)","1.6","1.8","0.8","1.1","0.0","1.4","0.0","1.4","0","11","0","11","0","11","0","11","0","11","0.0","1.4","0.0","47.5","0.0","69.1","-","**","-","**"
"1400000US17001000201","Census Tract 2.01, Adams County, Illinois","889","62","10","10","19","17","3","6","0","11","(X)","(X)","1.1","1.1","2.1","1.9","0.3","0.6","0.0","3.3","0","11","0","11","0","11","0","11","0","11","0.0","3.3","0.0","90.1","0.0","65.4","0.0","100.0","-","**"
"1400000US17001000202","Census Tract 2.02, Adams County, Illinois","970","95","0","11","0","11","0","11","11","17","(X)","(X)","0.0","3.0","0.0","3.0","0.0","3.0","1.1","1.8","0","11","0","11","0","11","0","11","0","11","0.0","3.0","-","**","-","**","-","**","0.0","85.9"
"1400000US17001000400","Census Tract 4, Adams County, Illinois","1316","143","0","11","4","8","5","10","21","32","(X)","(X)","0.0","2.3","0.3","0.7","0.4","0.8","1.6","2.4","0","11","0","11","0","11","0","11","0","11","0.0","2.3","-","**","0.0","100.0","0.0","100.0","0.0","62.2"
"1400000US17001000500","Census Tract 5, Adams County, Illinois","813","78","16","18","0","11","0","11","0","11","(X)","(X)","2.0","2.2","0.0","3.6","0.0","3.6","0.0","3.6","0","11","0","11","0","11","0","11","0","11","0.0","3.6","0.0","71.2","-","**","-","**","-","**"
"1400000US17001000600","Census Tract 6, Adams County, Illinois","1691","107","30","27","16","18","0","11","0","11","(X)","(X)","1.8","1.6","0.9","1.1","0.0","1.8","0.0","1.8","0","11","0","11","0","11","0","11","0","11","0.0","1.8","0.0","52.0","0.0","71.2","-","**","-","**"
"1400000US17001000700","Census Tract 7, Adams County, Illinois","703","103","12","13","0","11","7","11","0","11","(X)","(X)","1.7","1.8","0.0","4.2","1.0","1.5","0.0","4.2","7","11","7","11","0","11","0","11","0","11","1.0","1.5","58.3","58.1","-","**","0.0","100.0","-","**"
"1400000US17001000800","Census Tract 8, Adams County, Illinois","1113","152","0","11","0","11","13","19","0","11","(X)","(X)","0.0","2.7","0.0","2.7","1.2","1.7","0.0","2.7","0","11","0","11","0","11","0","11","0","11","0.0","2.7","-","**","-","**","0.0","79.0","-","**"
"1400000US17001000900","Census Tract 9, Adams County, Illinois","1175","122","12","16","12","20","0","11","0","11","(X)","(X)","1.0","1.4","1.0","1.7","0.0","2.5","0.0","2.5","0","11","0","11","0","11","0","11","0","11","0.0","2.5","0.0","82.3","0.0","82.3","-","**","-","**"
