individuals_income_below_185_percent_poverty_level,total_population_white,total_population_black_or_african_american,total_population_american_indian_and_alaska_native,total_population_asian,total_population_native_hawaiian_and_other_pacific_islander,total_population_hispanic_or_latino_origin,total_population_non_hispanic_or_latino_origin,total_lep_households_spanish,total_lep_households_other_indo_european_languages,total_lep_households_asian_and_pacific_island_languages,total_lep_households_other_languages,region
1130,4378,266,0,5,0,0,4761,0,0,0,0,West
559,1774,149,0,18,0,29,1953,0,0,0,0,West
741,2154,191,10,2,0,19,2357,0,0,0,0,West
1758,2485,488,0,31,0,20,3185,0,0,0,0,West
770,1572,191,14,7,0,24,1824,0,0,0,0,West
1047,3740,116,0,32,0,6,3991,0,0,0,0,West
573,892,60,10,7,0,52,929,7,0,0,0,West
1441,1959,446,0,13,0,155,2277,0,0,0,0,West
1233,2672,78,0,0,0,4,2834,0,0,0,0,West
722,3344,49,9,8,0,157,3264,0,0,0,0,West
464,2952,21,0,62,0,78,2981,0,0,23,0,West
1982,7438,321,49,143,0,102,8098,17,0,0,0,West
819,4113,22,0,10,0,87,4085,0,0,0,0,West
828,3093,0,7,30,0,6,3179,2,0,0,0,West
1571,5578,10,108,2,3,12,5693,0,0,0,0,West
442,3568,0,0,89,10,34,3634,0,0,0,0,West
414,2796,0,0,10,0,0,2806,0,0,0,0,West
1089,5571,113,90,48,0,184,5686,0,0,0,0,West
802,1825,204,2,0,0,8,2079,0,0,0,0,South
593,1367,373,4,0,0,22,1758,0,0,0,0,South
777,431,906,0,0,35,46,1326,0,0,0,0,South
391,227,598,31,0,0,6,898,0,0,0,0,South
663,2618,145,22,0,0,83,2744,0,0,0,0,South
1897,4224,505,18,23,0,327,4443,0,0,0,0,South
477,3008,0,4,14,0,19,3016,0,0,14,0,South
1085,4159,0,0,3,0,18,4174,0,0,0,0,South
3446,5928,117,21,54,0,3094,4309,95,0,0,0,Northwest
2690,5087,144,0,48,0,2002,4082,27,0,0,0,Northwest
2128,5592,69,0,78,0,2519,4139,119,0,11,0,Northwest
1304,5838,42,0,81,0,1267,5391,43,20,0,0,Northwest
1300,9472,57,50,241,0,756,9625,43,21,0,0,Northwest
711,3670,1,0,0,0,735,3088,18,11,0,0,Northwest
1669,10835,690,112,130,0,1249,10770,46,0,0,0,Northwest
456,2371,0,11,0,0,65,2337,3,0,0,0,West
748,2326,0,0,0,0,149,2177,47,0,0,0,West
713,2657,14,0,55,0,22,2761,0,0,8,0,Northwest
835,3330,0,0,0,0,49,3304,20,0,0,0,Northwest
741,2397,0,0,0,0,188,2264,0,0,0,0,Northwest
1304,3360,52,18,68,0,1213,2733,43,0,8,0,Northwest
973,3319,147,7,36,0,521,3262,11,0,0,0,Northwest
1080,2964,76,24,17,0,555,2842,41,0,0,0,Northwest
916,3089,12,14,0,0,85,3065,0,0,0,0,Northwest
696,3291,0,0,46,0,201,3196,12,0,0,0,Northwest
901,3335,20,0,12,0,117,3421,0,0,0,0,Northwest
752,2737,19,2,39,3,45,2792,0,0,3,0,Northwest
851,2460,0,25,42,0,55,2500,0,0,0,0,West
306,2169,0,0,0,0,2,2167,0,0,0,0,West
839,3142,24,5,27,0,134,3116,0,2,0,0,Northwest
386,2016,15,0,6,0,81,2002,0,7,0,0,Northwest
1079,2797,43,0,78,0,123,2845,32,0,0,0,Northwest
358,1861,2,0,0,0,69,1800,0,3,0,0,Northwest
590,2403,13,6,0,0,96,2430,0,0,0,0,Northwest
398,1374,0,0,0,0,0,1374,0,0,0,0,Northwest
545,2121,21,22,0,0,43,2199,0,0,0,0,West
474,2333,5,0,39,1,70,2347,0,0,0,0,West
539,2274,207,0,6,0,334,2164,45,0,0,0,West
1176,2146,172,0,0,0,720,1858,142,10,0,8,West
1170,2027,242,0,0,0,1195,1401,113,44,0,0,West
1397,314,1397,0,148,0,59,1806,16,36,4,0,East
4581,3065,418,0,1300,0,180,4916,0,35,165,0,East
2129,1081,66,13,1475,0,141,2558,0,24,175,0,East
1383,998,42,0,393,0,34,1409,0,0,58,0,East
3182,2508,148,0,496,0,316,3060,0,0,35,0,East
1481,2617,989,25,105,0,151,3638,0,0,40,24,East
1474,1727,1093,0,147,10,393,2848,49,0,36,13,East
1753,3406,1473,0,1121,0,267,5844,0,58,92,34,East
2660,2266,2568,0,67,0,801,4303,54,106,0,0,East
1252,4773,1102,0,693,0,362,6417,12,36,94,0,East
1291,3199,855,0,7,0,43,4147,0,0,0,0,East
672,3027,252,0,146,0,287,3327,20,0,0,0,East
3009,3643,2291,0,407,0,351,6466,0,24,66,0,East
685,3430,1085,0,132,0,186,4584,13,0,26,0,East
169,2646,254,15,934,0,84,3959,0,0,14,0,East
1380,4214,1058,0,1854,0,494,6895,18,0,79,0,East
130,1816,92,0,111,0,133,1920,5,6,0,0,East
1053,5234,335,0,474,0,593,5725,0,17,49,0,East
545,3390,170,0,703,0,116,4230,0,0,26,0,East
1362,2649,258,0,1185,0,242,4003,11,8,182,18,East
3684,1777,1784,89,1651,0,174,5295,0,0,182,0,East
1911,2972,937,0,95,0,295,3998,24,0,83,0,East
1194,3047,151,18,188,0,363,3173,122,0,0,0,East
1256,3618,249,47,232,0,468,3953,0,8,0,0,East
2026,4821,1638,0,440,0,531,6573,61,17,41,0,East
2101,3208,1024,0,471,0,411,4634,14,15,36,53,East
813,2015,467,44,709,0,8,3399,0,32,79,0,East
1560,2735,136,0,502,10,313,3425,0,27,21,0,East
1922,1176,126,0,968,0,82,2220,0,42,122,0,East
858,418,66,6,730,0,77,1197,21,70,123,0,East
2788,3198,1153,8,195,0,500,4562,85,21,0,0,East
1728,3490,973,6,31,0,805,3868,47,0,0,5,East
1587,1837,967,0,51,0,183,2863,0,0,0,0,East
906,4428,60,5,8,0,109,4438,6,2,0,0,East
570,4392,7,0,6,0,50,4417,0,0,0,0,East
470,6247,24,0,34,10,440,5987,0,0,0,0,East
1167,6822,26,0,30,48,308,6760,0,0,0,0,East
482,2238,6,0,64,0,64,2323,0,0,0,0,East
923,7849,21,2,77,0,73,7912,0,2,0,0,East
862,4498,17,18,7,0,39,4537,0,0,0,0,East
1813,8699,154,13,167,13,216,9092,2,0,26,0,East
1566,3418,532,36,153,0,206,4201,0,14,16,0,East
1762,1143,90,0,893,79,179,2189,0,14,122,8,East
557,2794,20,0,2,0,0,2855,0,9,0,0,West
1013,3454,9,9,3,0,10,3469,4,0,0,0,West
1723,4516,62,74,34,29,78,4637,0,0,0,0,West
1382,3270,0,10,0,0,3,3368,0,0,0,0,West
917,1817,0,0,26,0,0,1968,0,0,26,0,West
304,2046,0,0,6,0,16,2043,0,0,0,0,West
566,2962,5,0,102,0,35,3090,0,0,0,0,West
477,2255,0,0,0,0,19,2254,0,0,0,0,West
1207,2570,48,0,19,0,0,2637,0,0,0,0,West
966,4626,20,1,0,7,187,4502,0,0,0,0,West
781,4473,40,0,19,0,135,4513,0,0,0,0,East
1138,3593,0,0,61,0,49,3685,0,0,0,0,East
1703,4961,58,7,16,0,43,5070,0,5,0,0,East
592,1943,2,3,2,0,9,1943,0,0,0,0,East
845,2255,0,1,7,0,1,2262,0,0,0,0,East
935,2528,53,2,11,0,8,2595,0,12,0,0,East
2201,4695,17,25,17,0,3,5036,32,0,0,0,East
644,3087,17,4,7,0,2,3142,0,0,0,1,East
918,5837,20,0,18,0,82,5828,0,0,0,0,South
