num_participants,ALAND,region,individuals_income_below_185_percent_poverty_level,total_snap_recipient_households_white,total_snap_recipient_households_black_or_african_american,total_snap_recipient_households_american_indian_and_alaska_native,total_snap_recipient_households_asian,total_snap_recipient_households_native_hawaiian_and_other_pacific_islander,total_snap_recipient_households_hispanic_or_latino_origin,total_population_non_hispanic_or_latino_origin,total_lep_households
9,538297,Northeast,1152,0,480,0,0,0,11,469,8
3,13227521,South,1615,378,125,0,0,0,0,509,7
17,13227521,South,1615,378,125,0,0,0,0,509,7
15,13227521,South,1615,378,125,0,0,0,0,509,7
13,13227521,South,1615,378,125,0,0,0,0,509,7
11,13227521,South,1615,378,125,0,0,0,0,509,7
20,13227521,South,1615,378,125,0,0,0,0,509,7
14,13227521,South,1615,378,125,0,0,0,0,509,7
11,675743,Northeast,1737,0,528,0,0,0,18,510,0
13,1004079,Northeast,3705,142,480,0,16,0,266,478,129
16,378935157,West,585,71,0,0,0,0,0,71,0
16,378935157,West,585,71,0,0,0,0,0,71,0
16,378935157,West,585,71,0,0,0,0,0,71,0
16,378935157,West,585,71,0,0,0,0,0,71,0
16,378935157,West,585,71,0,0,0,0,0,71,0
16,378935157,West,585,71,0,0,0,0,0,71,0
16,378935157,West,585,71,0,0,0,0,0,71,0
23,13461877,East,1588,239,0,0,0,0,0,239,0
23,13461877,East,1588,239,0,0,0,0,0,239,0
23,13461877,East,1588,239,0,0,0,0,0,239,0
20,13461877,East,1588,239,0,0,0,0,0,239,0
22,13461877,East,1588,239,0,0,0,0,0,239,0
22,13461877,East,1588,239,0,0,0,0,0,239,0
23,13461877,East,1588,239,0,0,0,0,0,239,0
12,13461877,East,1588,239,0,0,0,0,0,239,0
12,13461877,East,1588,239,0,0,0,0,0,239,0
12,13461877,East,1588,239,0,0,0,0,0,239,0
14,13461877,East,1588,239,0,0,0,0,0,239,0
17,13461877,East,1588,239,0,0,0,0,0,239,0
15,13461877,East,1588,239,0,0,0,0,0,239,0
16,13461877,East,1588,239,0,0,0,0,0,239,0
24,378935157,West,585,71,0,0,0,0,0,71,0
24,378935157,West,585,71,0,0,0,0,0,71,0
24,378935157,West,585,71,0,0,0,0,0,71,0
24,378935157,West,585,71,0,0,0,0,0,71,0
23,378935157,West,585,71,0,0,0,0,0,71,0
22,378935157,West,585,71,0,0,0,0,0,71,0
23,378935157,West,585,71,0,0,0,0,0,71,0
23,378935157,West,585,71,0,0,0,0,0,71,0
23,378935157,West,585,71,0,0,0,0,0,71,0
23,378935157,West,585,71,0,0,0,0,0,71,0
23,378935157,West,585,71,0,0,0,0,0,71,0
23,378935157,West,585,71,0,0,0,0,0,71,0
23,378935157,West,585,71,0,0,0,0,0,71,0
23,378935157,West,585,71,0,0,0,0,0,71,0
23,378935157,West,585,71,0,0,0,0,0,71,0
11,13461877,East,1588,239,0,0,0,0,0,239,0
11,13461877,East,1588,239,0,0,0,0,0,239,0
11,13461877,East,1588,239,0,0,0,0,0,239,0
13,13461877,East,1588,239,0,0,0,0,0,239,0
10,13461877,East,1588,239,0,0,0,0,0,239,0
11,13461877,East,1588,239,0,0,0,0,0,239,0
15,13461877,East,1588,239,0,0,0,0,0,239,0
20,245113627,West,843,114,25,0,0,0,0,145,11
20,245113627,West,843,114,25,0,0,0,0,145,11
20,245113627,West,843,114,25,0,0,0,0,145,11
20,245113627,West,843,114,25,0,0,0,0,145,11
20,245113627,West,843,114,25,0,0,0,0,145,11
20,245113627,West,843,114,25,0,0,0,0,145,11
20,245113627,West,843,114,25,0,0,0,0,145,11
18,35071885,West,730,70,0,0,0,0,0,79,0
18,35071885,West,730,70,0,0,0,0,0,79,0
18,35071885,West,730,70,0,0,0,0,0,79,0
18,35071885,West,730,70,0,0,0,0,0,79,0
18,35071885,West,730,70,0,0,0,0,0,79,0
18,35071885,West,730,70,0,0,0,0,0,79,0
18,35071885,West,730,70,0,0,0,0,0,79,0
18,35071885,West,730,70,0,0,0,0,0,79,0
18,35071885,West,730,70,0,0,0,0,0,79,0
18,35071885,West,730,70,0,0,0,0,0,79,0
18,35071885,West,730,70,0,0,0,0,0,79,0
18,35071885,West,730,70,0,0,0,0,0,79,0
18,35071885,West,730,70,0,0,0,0,0,79,0
18,35071885,West,730,70,0,0,0,0,0,79,0
18,35071885,West,730,70,0,0,0,0,0,79,0
